"Observed","Estimator","Est_s.e.","95% Lower","95% Upper","ResArea_Orig","TimeWindow","Order"
15.119,15.547,0.797,15.119,17.11,"Science & Technology - Other Topics","1996_2000",2
5,6,2.465,5,10.831,"Social Sciences","1996_2000",2
4.073,4.618,1.27,4.073,7.107,"Sociology","1996_2000",2
18.156,20.692,1.808,18.156,24.236,"Soil Science","1996_2000",2
4,4,1.45,4,6.843,"Spectroscopy","1996_2000",2
9.657,14.773,4.024,9.657,22.66,"Statistics & Probability","1996_2000",2
1,1,0,1,1,"Substance Abuse","1996_2000",2
6,6,4.424,6,14.671,"Surgery","1996_2000",2
1,1,0,1,1,"Telecommunications","1996_2000",2
3,3,0.416,3,3.815,"Thermodynamics","1996_2000",2
17.896,21.01,1.816,17.896,24.569,"Toxicology","1996_2000",2
2,2,0.484,2,2.949,"Transplantation","1996_2000",2
1,1,0,1,1,"Transportation","1996_2000",2
15.654,18.699,2.652,15.654,23.897,"Tropical Medicine","1996_2000",2
14.019,16.964,2.119,14.019,21.118,"Urban Studies","1996_2000",2
5,5,2.66,5,10.214,"Urology & Nephrology","1996_2000",2
18.478,23.333,3.077,18.478,29.364,"Veterinary Sciences","1996_2000",2
12.531,12.932,0.978,12.531,14.848,"Virology","1996_2000",2
15.52,17.316,1.702,15.52,20.652,"Water Resources","1996_2000",2
11.573,11.681,0.444,11.573,12.552,"Zoology","1996_2000",2
42,43.599,2.161,42.217,53.787,"Agriculture","2001_2005",0
39,47.994,10.167,40.519,92.243,"Agronomy","2001_2005",0
6,7.333,2.073,6.152,17.707,"Allergy","2001_2005",0
17,23.016,5.978,18.185,47.534,"Anatomy & Morphology","2001_2005",0
28,28.56,1.009,28.053,33.91,"Anthropology","2001_2005",0
14,71.979,68.132,23.343,373.804,"Archaeology","2001_2005",0
1,1,0.312,1,2.549,"Architecture","2001_2005",0
2,2.5,1.107,2.037,8.808,"Area Studies","2001_2005",0
2,2.5,1.107,2.037,8.808,"Asian Studies","2001_2005",0
9,14.938,7.195,9.921,47.259,"Astronomy & Astrophysics","2001_2005",0
11,15.39,7.026,11.482,50.973,"Automation & Control Systems","2001_2005",0
24,30.334,5.867,25.354,53.622,"Behavioral Sciences","2001_2005",0
32,45.458,12.423,34.889,94.692,"Biochemical Research Methods","2001_2005",0
44,46.249,3.395,44.266,63.033,"Biochemistry & Molecular Biology","2001_2005",0
42,42.666,1.305,42.057,49.802,"Biodiversity Conservation","2001_2005",0
37,43.244,7.546,37.972,77.097,"Biology","2001_2005",0
9,14.5,5.979,9.974,40.06,"Biomedical Social Sciences","2001_2005",0
23,43.145,20.085,26.954,125.639,"Biophysics","2001_2005",0
44,46.249,3.394,44.266,63.03,"Biotechnology & Applied Microbiology","2001_2005",0
16,16.662,1.298,16.056,23.761,"Business","2001_2005",0
7,20.333,12.006,9.945,67.375,"Cardiology","2001_2005",0
31,31.399,0.866,31.03,36.303,"Cell Biology","2001_2005",0
4,6.5,3.655,4.307,24.328,"Cell & Tissue Engineering","2001_2005",0
35,39.076,4.042,35.805,55.638,"Chemistry","2001_2005",0
8,26.9,15.504,12.633,85.102,"Clinical Neurology","2001_2005",0
1,1,0.312,1,2.549,"Communication","2001_2005",0
28,28.333,0.757,28.024,32.681,"Computer Science","2001_2005",0
4,8.5,5.275,4.727,31.843,"Construction & Building Technology","2001_2005",0
8,19.765,16.152,9.565,96.461,"Crystallography","2001_2005",0
1,1,0.312,1,2.549,"Cultural Studies","2001_2005",0
4,7.6,5.817,4.391,37.177,"Demography","2001_2005",0
8,11.733,4.964,8.517,34.975,"Dentistry, Oral Surgery & Medicine","2001_2005",0
5,9,6.429,5.437,41.618,"Dermatology","2001_2005",0
22,27.956,6.436,23.062,55.396,"Developmental Biology","2001_2005",0
46,49,4.619,46.346,72.025,"Ecology","2001_2005",0
16,16.496,1.025,16.04,22.204,"Economics","2001_2005",0
6,16.714,14.743,7.421,86.784,"Education","2001_2005",0
1,1,0.312,1,2.549,"Electrochemistry","2001_2005",0
16,32.204,14.448,19.619,88.556,"Endocrinology & Metabolism","2001_2005",0
9,9.972,1.826,9.087,19.811,"Energy & Fuels","2001_2005",0
32,37.985,6.466,33.068,65.546,"Engineering","2001_2005",0
37,43.391,5.915,38.368,66.862,"Entomology","2001_2005",0
33,35.717,2.785,33.516,47.302,"Environmental Studies","2001_2005",0
8,15.733,11.285,8.953,70.737,"Ethics","2001_2005",0
1,1,0.312,1,2.549,"Ethnic Studies","2001_2005",0
42,44.249,3.395,42.266,61.032,"Evolutionary Biology","2001_2005",0
1,1,0.312,1,2.549,"Family Studies","2001_2005",0
38,41.595,3.847,38.649,57.919,"Fisheries","2001_2005",0
1,1,0.312,1,2.549,"Folklore","2001_2005",0
29,30.776,2.179,29.271,40.622,"Food Science & Technology","2001_2005",0
38,39.499,2.29,38.174,50.878,"Forestry","2001_2005",0
17,23.163,7.453,17.959,56.61,"Gastroenterology & Hepatology","2001_2005",0
5,6.929,2.958,5.223,21.648,"General & Internal Medicine","2001_2005",0
46,54.997,10.171,47.52,99.263,"Genetics & Heredity","2001_2005",0
10,12.93,3.456,10.47,28.265,"Geochemistry & Geophysics","2001_2005",0
37,37.899,1.462,37.097,45.354,"Geography","2001_2005",0
37,43.741,5.875,38.545,66.414,"Geology","2001_2005",0
36,44.087,7.087,37.842,71.512,"Geosciences, Multidisciplinary","2001_2005",0
6,14.75,8.841,7.691,51.286,"Geriatrics & Gerontology","2001_2005",0
7,9.152,3.262,7.253,25.311,"Government & Law","2001_2005",0
1,1,0.312,1,2.549,"Health Care Sciences & Services","2001_2005",0
11,12.548,2.104,11.209,22.492,"Hematology","2001_2005",0
11,31.447,16.815,15.999,94.64,"History","2001_2005",0
37,50.482,12.444,39.894,99.801,"Horticulture","2001_2005",0
1,1,0.312,1,2.549,"Hospitality, Leisure, Sport & Tourism","2001_2005",0
1,1,0.312,1,2.549,"Humanities, Multidisciplinary","2001_2005",0
17,23.176,7.468,17.961,56.69,"Imaging Science & Photographic Technology","2001_2005",0
37,37.749,1.261,37.077,44.269,"Immunology","2001_2005",0
34,49.972,16.464,37.014,118.646,"Infectious Diseases","2001_2005",0
8,21.929,12.557,11.072,71.157,"Information Science & Library Science","2001_2005",0
10,24.318,12.944,13.148,75.128,"Instruments & Instrumentation","2001_2005",0
6,6.955,2.129,6.069,19.114,"Integrative & Complementary Medicine","2001_2005",0
5,5.889,1.692,5.079,15.052,"International Relations","2001_2005",0
1,1,0.312,1,2.549,"Language & Linguistics","2001_2005",0
7,9.125,3.225,7.249,25.109,"Law","2001_2005",0
7,7.241,0.71,7.013,11.614,"Legal Medicine","2001_2005",0
37,43.244,7.546,37.972,77.097,"Life Sciences & Biomedicine - Other Topics","2001_2005",0
32,63.908,39.486,36.826,242.97,"Limnology","2001_2005",0
2,2.5,1.107,2.037,8.808,"Linguistics","2001_2005",0
1,1,0.312,1,2.549,"Literature","2001_2005",0
4,4.833,1.603,4.073,13.544,"Management","2001_2005",0
43,44.999,3.741,43.181,65.122,"Marine & Freshwater Biology","2001_2005",0
16,29.179,12.176,18.826,77.457,"Materials Science","2001_2005",0
23,25.483,2.941,23.396,38.557,"Mathematical & Computational Biology","2001_2005",0
6,9.5,4.677,6.481,31.447,"Mathematical Methods In Social Sciences","2001_2005",0
23,39.556,14.75,26.701,97.063,"Mathematics","2001_2005",0
3,5,2.921,3.246,19.244,"Mechanics","2001_2005",0
6,6.115,0.415,6.005,8.776,"Medical Subscience","2001_2005",0
5,6.929,2.958,5.223,21.648,"Medicine, General & Internal","2001_2005",0
7,7.241,0.71,7.013,11.614,"Medicine, Legal","2001_2005",0
20,24.031,4.003,20.795,40.442,"Medicine, Research & Experimental","2001_2005",0
1,1,0.312,1,2.549,"Metallurgy & Metallurgical Engineering","2001_2005",0
22,42.087,20.029,25.942,124.353,"Meteorology & Atmospheric Sciences","2001_2005",0
47,50.999,5.29,47.557,75.713,"Microbiology","2001_2005",0
6,16.714,14.743,7.421,86.784,"Microscopy","2001_2005",0
2,2.5,1.107,2.037,8.808,"Mineralogy","2001_2005",0
7,18.458,15.741,8.523,93.222,"Mining & Mineral Processing","2001_2005",0
37,54.982,23.598,39.529,164.837,"Multidisciplinary Sciences","2001_2005",0
31,35.491,4.794,31.813,55.811,"Mycology","2001_2005",0
7,20.75,12.375,10.038,69.225,"Nanoscience & Nanotechnology","2001_2005",0
24,24.331,0.754,24.023,28.668,"Neurosciences","2001_2005",0
3,5,2.921,3.246,19.244,"Nuclear Science & Technology","2001_2005",0
11,15.286,4.596,11.771,34.809,"Nutrition & Dietetics","2001_2005",0
4,4.833,1.603,4.073,13.544,"Obstetrics & Gynecology","2001_2005",0
43,52.989,8.358,45.396,84.65,"Oceanography","2001_2005",0
21,25.458,4.762,21.806,45.652,"Oncology","2001_2005",0
14,18.054,4.762,14.654,39.149,"Operations Research & Management Science","2001_2005",0
2,2.5,1.107,2.037,8.808,"Ophthalmology","2001_2005",0
5,13,8.069,6.549,46.319,"Optics","2001_2005",0
27,87.227,70.757,36.708,400.65,"Ornithology","2001_2005",0
34,36.567,2.811,34.451,48.623,"Paleontology","2001_2005",0
33,36.592,3.844,33.648,52.904,"Parasitology","2001_2005",0
21,27.067,6.025,22.196,51.77,"Pathology","2001_2005",0
7,10.636,4.845,7.502,33.34,"Pediatrics","2001_2005",0
4,7.6,5.817,4.391,37.177,"Peripheral Vascular Disease","2001_2005",0
31,51.182,20.122,34.961,133.826,"Pharmacology & Pharmacy","2001_2005",0
37,37.749,1.261,37.077,44.268,"Physical Geography","2001_2005",0
16,40.138,23.42,20.891,135.127,"Physics","2001_2005",0
23,35.424,17.037,24.655,116.281,"Physiology","2001_2005",0
13,40.282,20.745,20.259,115.532,"Planning & Development","2001_2005",0
47,59.497,17.135,48.665,140.814,"Plant Sciences","2001_2005",0
1,1,0.08,1,1.165,"Political Science","2001_2005",0
2,2.333,0.943,2.018,8.09,"Polymer Science","2001_2005",0
5,6.818,3.426,5.163,25.295,"Psychiatry","2001_2005",0
11,15.235,4.547,11.761,34.563,"Psychology","2001_2005",0
14,49.163,24.974,24.049,137.045,"Public Administration","2001_2005",0
26,27.12,1.762,26.126,35.983,"Public, Environmental & Occupational Health","2001_2005",0
5,13,8.069,6.549,46.319,"Radiology, Nuclear Medicine & Medical Imaging","2001_2005",0
20,60.082,48.587,26.218,278.378,"Remote Sensing","2001_2005",0
14,29.667,16.159,16.954,97.086,"Reproductive Biology","2001_2005",0
20,24.031,4.003,20.795,40.442,"Research & Experimental Medicine","2001_2005",0
7,10.667,4.882,7.507,33.538,"Respiratory System","2001_2005",0
7,7.933,1.764,7.083,17.457,"Robotics","2001_2005",0
37,54.982,23.599,39.529,164.839,"Science & Technology - Other Topics","2001_2005",0
16,55.825,48.278,22.178,272.735,"Social Sciences","2001_2005",0
13,17.085,4.796,13.659,38.319,"Sociology","2001_2005",0
29,69.37,48.933,35.263,289.213,"Soil Science","2001_2005",0
5,9.05,6.506,5.443,42.048,"Spectroscopy","2001_2005",0
6,18.5,11.242,8.764,62.521,"Sport Sciences","2001_2005",0
16,22.175,7.466,16.961,55.679,"Statistics & Probability","2001_2005",0
3,5,2.921,3.246,19.244,"Substance Abuse","2001_2005",0
9,20.136,12.001,10.993,71.23,"Surgery","2001_2005",0
7,9.077,3.16,7.243,24.752,"Telecommunications","2001_2005",0
3,5,2.921,3.246,19.244,"Thermodynamics","2001_2005",0
32,40.952,6.759,34.4,65.391,"Toxicology","2001_2005",0
10,18.526,9.661,11.436,60.621,"Transplantation","2001_2005",0
2,2.5,1.107,2.037,8.808,"Transportation","2001_2005",0
27,42.022,12.389,30.661,88.645,"Tropical Medicine","2001_2005",0
20,27.918,7.412,21.673,57.487,"Urban Studies","2001_2005",0
2,2.5,1.107,2.037,8.808,"Urology & Nephrology","2001_2005",0
28,31.977,3.723,28.84,46.829,"Veterinary Sciences","2001_2005",0
31,35.494,4.796,31.813,55.825,"Virology","2001_2005",0
35,39.559,4.234,35.972,56.384,"Water Resources","2001_2005",0
41,44.598,3.849,41.649,60.932,"Zoology","2001_2005",0
17.337,17.511,0.463,17.337,18.419,"Agriculture","2001_2005",1
16.796,17.075,0.484,16.796,18.024,"Agronomy","2001_2005",1
5.67,8.696,2.283,5.67,13.171,"Allergy","2001_2005",1
10.692,13.385,2.117,10.692,17.535,"Anatomy & Morphology","2001_2005",1
15.938,17.013,1.061,15.938,19.092,"Anthropology","2001_2005",1
10.351,28.586,13.603,10.351,55.247,"Archaeology","2001_2005",1
1,0,0,1,0,"Architecture","2001_2005",1
2,3.375,1.106,2,5.543,"Area Studies","2001_2005",1
2,3.375,1.096,2,5.524,"Asian Studies","2001_2005",1
6.802,10.08,2.684,6.802,15.34,"Astronomy & Astrophysics","2001_2005",1
8.844,10.671,1.432,8.844,13.478,"Automation & Control Systems","2001_2005",1
14.692,17.431,1.939,14.692,21.231,"Behavioral Sciences","2001_2005",1
13.388,14.415,1.112,13.388,16.595,"Biochemical Research Methods","2001_2005",1
16.628,16.743,0.35,16.628,17.43,"Biochemistry & Molecular Biology","2001_2005",1
15.037,15.165,0.317,15.037,15.787,"Biodiversity Conservation","2001_2005",1
16.573,16.902,0.57,16.573,18.018,"Biology","2001_2005",1
8.485,16.526,8.013,8.485,32.231,"Biomedical Social Sciences","2001_2005",1
9.368,10.44,1.079,9.368,12.554,"Biophysics","2001_2005",1
15.576,15.752,0.456,15.576,16.645,"Biotechnology & Applied Microbiology","2001_2005",1
8.755,9.316,0.837,8.755,10.956,"Business","2001_2005",1
6.24,17.912,7.27,6.24,32.161,"Cardiology","2001_2005",1
13.683,14.061,0.699,13.683,15.432,"Cell Biology","2001_2005",1
3.464,6.072,2.197,3.464,10.379,"Cell & Tissue Engineering","2001_2005",1
11.213,11.62,0.654,11.213,12.901,"Chemistry","2001_2005",1
7.192,23.539,10.437,7.192,43.995,"Clinical Neurology","2001_2005",1
1,0,0,1,0,"Communication","2001_2005",1
14.073,14.505,0.631,14.073,15.742,"Computer Science","2001_2005",1
4,12.275,3.766,4.894,19.656,"Construction & Building Technology","2001_2005",1
6.008,10.248,3.806,6.008,17.708,"Crystallography","2001_2005",1
1,0,0,1,0,"Cultural Studies","2001_2005",1
3.789,8.182,4.988,3.789,17.958,"Demography","2001_2005",1
6.916,10.48,2.657,6.916,15.687,"Dentistry, Oral Surgery & Medicine","2001_2005",1
4.166,6.861,2.581,4.166,11.919,"Dermatology","2001_2005",1
11.883,13.256,1.216,11.883,15.639,"Developmental Biology","2001_2005",1
17.623,17.667,0.2,17.623,18.06,"Ecology","2001_2005",1
8.617,9.188,0.989,8.617,11.128,"Economics","2001_2005",1
5.742,17.62,8.832,5.742,34.93,"Education","2001_2005",1
1,0,0,1,0,"Electrochemistry","2001_2005",1
10.644,16.89,4.393,10.644,25.499,"Endocrinology & Metabolism","2001_2005",1
7.088,8.149,0.934,7.088,9.98,"Energy & Fuels","2001_2005",1
15.555,16.342,0.963,15.555,18.229,"Engineering","2001_2005",1
16.007,16.509,0.622,16.007,17.729,"Entomology","2001_2005",1
10.605,11.008,0.683,10.605,12.346,"Environmental Studies","2001_2005",1
4.757,6.114,1.634,4.757,9.317,"Ethics","2001_2005",1
1,0,0,1,0,"Ethnic Studies","2001_2005",1
19.032,19.182,0.414,19.032,19.993,"Evolutionary Biology","2001_2005",1
1,0,0,1,0,"Family Studies","2001_2005",1
16.514,16.999,0.701,16.514,18.372,"Fisheries","2001_2005",1
1,0,0,1,0,"Folklore","2001_2005",1
16.267,17.791,1.544,16.267,20.817,"Food Science & Technology","2001_2005",1
16.179,16.379,0.473,16.179,17.306,"Forestry","2001_2005",1
11.976,14.164,1.753,11.976,17.6,"Gastroenterology & Hepatology","2001_2005",1
4.711,7.924,3.854,4.711,15.478,"General & Internal Medicine","2001_2005",1
19.343,19.495,0.336,19.343,20.153,"Genetics & Heredity","2001_2005",1
9.208,14.376,3.526,9.208,21.286,"Geochemistry & Geophysics","2001_2005",1
16.317,16.65,0.526,16.317,17.681,"Geography","2001_2005",1
15.072,15.55,0.609,15.072,16.744,"Geology","2001_2005",1
15.032,15.618,0.715,15.032,17.02,"Geosciences, Multidisciplinary","2001_2005",1
5.299,13.143,6.862,5.299,26.591,"Geriatrics & Gerontology","2001_2005",1
4.564,5.614,1.3,4.564,8.162,"Government & Law","2001_2005",1
1,0,0,1,0,"Health Care Sciences & Services","2001_2005",1
7.484,9.295,1.724,7.484,12.674,"Hematology","2001_2005",1
6.535,9.351,2.281,6.535,13.821,"History","2001_2005",1
16.748,17.326,0.664,16.748,18.627,"Horticulture","2001_2005",1
1,0,0,1,0,"Hospitality, Leisure, Sport & Tourism","2001_2005",1
1,0,0,1,0,"Humanities, Multidisciplinary","2001_2005",1
11.694,13.476,1.329,11.694,16.081,"Imaging Science & Photographic Technology","2001_2005",1
13.848,14.115,0.503,13.848,15.1,"Immunology","2001_2005",1
12.747,13.323,0.721,12.747,14.737,"Infectious Diseases","2001_2005",1
6.227,12.824,6.493,6.227,25.551,"Information Science & Library Science","2001_2005",1
7.935,13.217,4.015,7.935,21.086,"Instruments & Instrumentation","2001_2005",1
4.449,5.201,0.85,4.449,6.868,"Integrative & Complementary Medicine","2001_2005",1
4.586,6.346,1.85,4.586,9.973,"International Relations","2001_2005",1
1,0,0,1,0,"Language & Linguistics","2001_2005",1
5.43,7.073,1.793,5.43,10.587,"Law","2001_2005",1
5.757,6.477,0.832,5.757,8.107,"Legal Medicine","2001_2005",1
16.573,16.902,0.539,16.573,17.959,"Life Sciences & Biomedicine - Other Topics","2001_2005",1
17.902,19.351,1.259,17.902,21.819,"Limnology","2001_2005",1
2,3.375,1.15,2,5.628,"Linguistics","2001_2005",1
1,0,0,1,0,"Literature","2001_2005",1
3.78,5.605,2.398,3.78,10.304,"Management","2001_2005",1
18.187,18.319,0.33,18.187,18.965,"Marine & Freshwater Biology","2001_2005",1
9.9,14.248,3.26,9.9,20.637,"Materials Science","2001_2005",1
11.857,13.008,1.136,11.857,15.234,"Mathematical & Computational Biology","2001_2005",1
5.657,10.706,4.444,5.657,19.416,"Mathematical Methods In Social Sciences","2001_2005",1
12.274,14.047,1.459,12.274,16.907,"Mathematics","2001_2005",1
3,7.184,2.415,3,11.918,"Mechanics","2001_2005",1
5.539,6.902,1.684,5.539,10.202,"Medical Subscience","2001_2005",1
4.711,7.924,3.322,4.711,14.436,"Medicine, General & Internal","2001_2005",1
5.757,6.477,0.863,5.757,8.168,"Medicine, Legal","2001_2005",1
11.415,13.522,1.632,11.415,16.721,"Medicine, Research & Experimental","2001_2005",1
1,0,0,1,0,"Metallurgy & Metallurgical Engineering","2001_2005",1
12.367,14.566,1.593,12.367,17.688,"Meteorology & Atmospheric Sciences","2001_2005",1
14.961,15.07,0.338,14.961,15.731,"Microbiology","2001_2005",1
5.742,17.62,9.43,5.742,36.101,"Microscopy","2001_2005",1
2,3.375,1.057,2,5.447,"Mineralogy","2001_2005",1
5.467,11.107,5.857,5.467,22.586,"Mining & Mineral Processing","2001_2005",1
15.622,16.036,0.624,15.622,17.259,"Multidisciplinary Sciences","2001_2005",1
13.08,13.582,0.751,13.08,15.054,"Mycology","2001_2005",1
4.899,10.86,5.374,4.899,21.393,"Nanoscience & Nanotechnology","2001_2005",1
15.071,16.348,1.325,15.071,18.945,"Neurosciences","2001_2005",1
3,7.184,2.277,3,11.646,"Nuclear Science & Technology","2001_2005",1
8.43,12.627,2.953,8.43,18.415,"Nutrition & Dietetics","2001_2005",1
3.78,5.605,2.234,3.78,9.983,"Obstetrics & Gynecology","2001_2005",1
18.846,19.44,0.628,18.846,20.67,"Oceanography","2001_2005",1
11.827,13.429,1.515,11.827,16.398,"Oncology","2001_2005",1
11.416,14.846,2.457,11.416,19.662,"Operations Research & Management Science","2001_2005",1
2,3.375,1.12,2,5.569,"Ophthalmology","2001_2005",1
5,18.564,5.847,7.105,30.023,"Optics","2001_2005",1
14.19,16.331,1.602,14.19,19.472,"Ornithology","2001_2005",1
15.56,16.097,0.772,15.56,17.61,"Paleontology","2001_2005",1
13.957,14.568,0.836,13.957,16.206,"Parasitology","2001_2005",1
11.422,13.116,1.485,11.422,16.026,"Pathology","2001_2005",1
6.336,10.619,4.87,6.336,20.164,"Pediatrics","2001_2005",1
3.789,8.182,4.425,3.789,16.854,"Peripheral Vascular Disease","2001_2005",1
12.378,13.455,1.155,12.378,15.719,"Pharmacology & Pharmacy","2001_2005",1
16.707,17.085,0.6,16.707,18.261,"Physical Geography","2001_2005",1
13.14,25.115,8.873,13.14,42.506,"Physics","2001_2005",1
12.134,13.445,1.301,12.134,15.996,"Physiology","2001_2005",1
7.453,11.423,3.421,7.453,18.129,"Planning & Development","2001_2005",1
17.845,17.959,0.313,17.845,18.573,"Plant Sciences","2001_2005",1
1,1,0,1,1,"Political Science","2001_2005",1
1.89,2.52,1.777,1.89,6.002,"Polymer Science","2001_2005",1
4.341,5.898,1.749,4.341,9.327,"Psychiatry","2001_2005",1
10.106,16.643,4.104,10.106,24.685,"Psychology","2001_2005",1
7.706,12.062,3.585,7.706,19.089,"Public Administration","2001_2005",1
15.237,16.274,1.161,15.237,18.548,"Public, Environmental & Occupational Health","2001_2005",1
5,18.564,5.662,7.467,29.661,"Radiology, Nuclear Medicine & Medical Imaging","2001_2005",1
12.768,16.201,2.162,12.768,20.438,"Remote Sensing","2001_2005",1
7.925,10.736,2.247,7.925,15.14,"Reproductive Biology","2001_2005",1
11.415,13.522,1.65,11.415,16.755,"Research & Experimental Medicine","2001_2005",1
6,9.636,3.421,6,16.34,"Respiratory System","2001_2005",1
6.45,8.423,1.609,6.45,11.578,"Robotics","2001_2005",1
15.579,15.986,0.638,15.579,17.238,"Science & Technology - Other Topics","2001_2005",1
8.472,12.032,3.174,8.472,18.254,"Social Sciences","2001_2005",1
7.792,9.329,1.388,7.792,12.05,"Sociology","2001_2005",1
15.038,16.435,1.185,15.038,18.757,"Soil Science","2001_2005",1
3.893,6.105,2.99,3.893,11.966,"Spectroscopy","2001_2005",1
6,26.008,7.41,11.484,40.532,"Sport Sciences","2001_2005",1
10.664,12.254,1.412,10.664,15.021,"Statistics & Probability","2001_2005",1
3,7.184,2.418,3,11.923,"Substance Abuse","2001_2005",1
8.549,21.892,12.511,8.549,46.413,"Surgery","2001_2005",1
6.326,9.124,2.297,6.326,13.626,"Telecommunications","2001_2005",1
3,7.184,2.361,3,11.812,"Thermodynamics","2001_2005",1
14.036,15.841,1.391,14.036,18.567,"Toxicology","2001_2005",1
8.03,13.324,4.617,8.03,22.373,"Transplantation","2001_2005",1
2,3.375,1.075,2,5.482,"Transportation","2001_2005",1
11.555,13.446,1.712,11.555,16.802,"Tropical Medicine","2001_2005",1
10.009,11.682,1.451,10.009,14.526,"Urban Studies","2001_2005",1
2,3.375,1.091,2,5.514,"Urology & Nephrology","2001_2005",1
13.678,15.14,1.301,13.678,17.69,"Veterinary Sciences","2001_2005",1
11.848,12.157,0.48,11.848,13.097,"Virology","2001_2005",1
16.18,17.111,0.957,16.18,18.986,"Water Resources","2001_2005",1
15.671,15.879,0.407,15.671,16.677,"Zoology","2001_2005",1
11.058,11.108,0.369,11.058,11.831,"Agriculture","2001_2005",2
11.176,11.253,0.432,11.176,12.1,"Agronomy","2001_2005",2
5.4,12,2.611,6.883,17.117,"Allergy","2001_2005",2
7.327,8.28,1.631,7.327,11.476,"Anatomy & Morphology","2001_2005",2
10.628,11.103,1.152,10.628,13.36,"Anthropology","2001_2005",2
7.579,10.615,5.925,7.579,22.228,"Archaeology","2001_2005",2
1,1,0,1,1,"Architecture","2001_2005",2
2,2,0.477,2,2.934,"Area Studies","2001_2005",2
2,2,0.464,2,2.909,"Asian Studies","2001_2005",2
5.405,7.037,2.248,5.405,11.442,"Astronomy & Astrophysics","2001_2005",2
7.676,9.213,1.371,7.676,11.9,"Automation & Control Systems","2001_2005",2
10.02,11.059,1.528,10.02,14.055,"Behavioral Sciences","2001_2005",2
8.42,8.622,0.702,8.42,9.998,"Biochemical Research Methods","2001_2005",2
10.551,10.581,0.257,10.551,11.084,"Biochemistry & Molecular Biology","2001_2005",2
9.892,9.927,0.254,9.892,10.425,"Biodiversity Conservation","2001_2005",2
11.004,11.103,0.459,11.004,12.002,"Biology","2001_2005",2
8,22,6.718,8.833,35.167,"Biomedical Social Sciences","2001_2005",2
5.656,5.797,0.624,5.656,7.02,"Biophysics","2001_2005",2
9.453,9.491,0.299,9.453,10.077,"Biotechnology & Applied Microbiology","2001_2005",2
5.364,5.543,0.821,5.364,7.152,"Business","2001_2005",2
5.4,12,9.845,5.4,31.296,"Cardiology","2001_2005",2
8.351,8.457,0.52,8.351,9.476,"Cell Biology","2001_2005",2
3,5,2.326,3,9.559,"Cell & Tissue Engineering","2001_2005",2
6.014,6.066,0.406,6.014,6.861,"Chemistry","2001_2005",2
6.25,15,11.837,6.25,38.2,"Clinical Neurology","2001_2005",2
1,1,0,1,1,"Communication","2001_2005",2
10.055,10.251,0.569,10.055,11.366,"Computer Science","2001_2005",2
4,4,1.423,4,6.79,"Construction & Building Technology","2001_2005",2
4.738,6.182,2.847,4.738,11.763,"Crystallography","2001_2005",2
1,1,0,1,1,"Cultural Studies","2001_2005",2
3.571,10,3.109,3.907,16.093,"Demography","2001_2005",2
6.081,9.545,2.643,6.081,14.726,"Dentistry, Oral Surgery & Medicine","2001_2005",2
3.522,5.143,3.029,3.522,11.08,"Dermatology","2001_2005",2
8.007,8.445,0.985,8.007,10.376,"Developmental Biology","2001_2005",2
11.925,11.938,0.156,11.925,12.244,"Ecology","2001_2005",2
5.288,5.47,0.814,5.288,7.065,"Economics","2001_2005",2
5.444,21,6.851,7.573,34.427,"Education","2001_2005",2
1,1,0,1,1,"Electrochemistry","2001_2005",2
7.364,9,2.619,7.364,14.134,"Endocrinology & Metabolism","2001_2005",2
6.113,7.159,1.044,6.113,9.205,"Energy & Fuels","2001_2005",2
10.219,10.458,0.759,10.219,11.945,"Engineering","2001_2005",2
10.991,11.14,0.562,10.991,12.242,"Entomology","2001_2005",2
6.025,6.085,0.395,6.025,6.859,"Environmental Studies","2001_2005",2
3.435,3.75,0.884,3.435,5.483,"Ethics","2001_2005",2
1,1,0,1,1,"Ethnic Studies","2001_2005",2
13.484,13.543,0.326,13.484,14.182,"Evolutionary Biology","2001_2005",2
1,1,0,1,1,"Family Studies","2001_2005",2
10.768,10.909,0.614,10.768,12.111,"Fisheries","2001_2005",2
1,1,0,1,1,"Folklore","2001_2005",2
10.031,10.558,1.288,10.031,13.083,"Food Science & Technology","2001_2005",2
10.804,10.869,0.384,10.804,11.622,"Forestry","2001_2005",2
9.391,10.65,1.498,9.391,13.586,"Gastroenterology & Hepatology","2001_2005",2
4.455,10.5,4.1,4.455,18.535,"General & Internal Medicine","2001_2005",2
13.477,13.525,0.335,13.477,14.182,"Genetics & Heredity","2001_2005",2
8.533,17.143,3.587,10.113,24.173,"Geochemistry & Geophysics","2001_2005",2
11.432,11.558,0.512,11.432,12.561,"Geography","2001_2005",2
10.394,10.525,0.482,10.394,11.47,"Geology","2001_2005",2
10.245,10.401,0.559,10.245,11.497,"Geosciences, Multidisciplinary","2001_2005",2
4.571,9.333,6.452,4.571,21.978,"Geriatrics & Gerontology","2001_2005",2
3.369,3.776,1.131,3.369,5.993,"Government & Law","2001_2005",2
1,1,0,1,1,"Health Care Sciences & Services","2001_2005",2
5.309,6.2,1.665,5.309,9.462,"Hematology","2001_2005",2
4.846,5.408,1.224,4.846,7.807,"History","2001_2005",2
11.412,11.569,0.674,11.412,12.89,"Horticulture","2001_2005",2
1,1,0,1,1,"Hospitality, Leisure, Sport & Tourism","2001_2005",2
1,1,0,1,1,"Humanities, Multidisciplinary","2001_2005",2
